competition_section,match_number,match_date,date_raw,tournament,round,stadium,home_team,away_team,home_score,away_score,score_note,home_scorers,away_scorers
primera_division,001,1913-08-24,24 de agosto de 1913,Campeonato 1913,11,Estadio de Alsina y Colón; (Racing Club),Boca Juniors,River Plate,1,2,,Mayer (70),"García (23), Ameal Pereyra (47)"
primera_division,002,1914-10-25,25 de octubre de 1914,Campeonato 1914,13,Estadio de Ferro Carril Oeste,River Plate,Boca Juniors,0,0,,,
primera_division,003,1915-06-20,20 de junio de 1915,Campeonato 1915,11,Cancha de Wilde,Boca Juniors,River Plate,0,2,,,"Penney (15, 83)"
primera_division,004,1916-12-10,10 de diciembre de 1916,Campeonato 1916,21,Estadio de Alsina y Colón; (Racing Club),River Plate,Boca Juniors,2,1,,"Risso (27), Chiappe (p. 75)",Reppeto (75)
primera_division,005,1917-06-24,24 de junio de 1917,Campeonato 1917,09,Estadio de Alsina y Colón; (Racing Club),River Plate,Boca Juniors,2,2,,"Taggino (25, 70)","Amores (35, 83)"
primera_division,006,1918-09-18,18 de septiembre de 1918,Campeonato 1918,16,Estadio de Alsina y Colón; (Racing Club),River Plate,Boca Juniors,0,1,,,Brichetto (52)
primera_division,-,1919-07-27,27 de julio de 1919,Campeonato 1919,04,Estadio de Ministro Brin y Sengüel,Boca Juniors,River Plate,0,0,,,
primera_division,007,1927-12-04,4 de diciembre de 1927,Campeonato 1927,33,Estadio de Brandsen y Del Crucero,Boca Juniors,River Plate,1,0,,Cherro (6),
primera_division,008,1928-12-23,23 de diciembre de 1928,Campeonato 1928,27,Estadio de Brandsen y Del Crucero,Boca Juniors,River Plate,6,0,,"Tarasconi (3, 40), Kuko (30, 55), Cherro (70, 82)",
primera_division,009,1930-05-04,4 de mayo de 1930,Campeonato 1930,07,Estadio de Alvear y Tagle,River Plate,Boca Juniors,3,2,,"Ganduglia (23, 80), Locassio (34)","Tarasconi (10, 57)"
